ot "Name","Website","phone","Address","City","postal_code","State","Rating","Reviews Count","verified","place_id","Send table data"
"Hvac Technologies","http://berkshireheatingandcooling.com/index.html","+1 413-344-4502","Cheshire, MA 01225","Cheshire",1225,"Massachusetts",5,3,0,"ChIJTdlJabdO54kRsgsb8MznR2k","✅ Sent"
"413 Ductless Solutions","http://413ductless.com/","+1 413-707-1701","363 Post office bx, West Stockbridge, MA 01266","West Stockbridge",1266,"Massachusetts",5,15,1,"ChIJa-wdSTDuCUoRC7ql7yfLcY8","✅ Sent"
"LePrevost Plumbing Heating & Cooling","https://leprevostplumbingandheating.com/","+1 413-243-1777","18 Run Way, Lee, MA 01238","Lee",1238,"Massachusetts",4.7,294,1,"ChIJMUf0ZEJD54kRagswTN3B5ds","✅ Sent"
"Pioneer Heating & Cooling Inc","https://pioneerhvac.com/","+1 413-586-7925","52 Maple St, Florence, MA 01062","Florence",1062,"Massachusetts",4.3,36,1,"ChIJNcKfEaTX5okRGnww0Wao5YM","✅ Sent"
"Hampden County HVAC Inc. | Mass Save Certified Installer","https://hampdenhvac.com/","+1 413-219-1119","387 Main St, Indian Orchard, MA 01105","Indian Orchard",1105,"Massachusetts",4.9,67,1,"ChIJgZiEiutHZo4RXsmHGY2BAyQ","✅ Sent"
"JV Mechanical Contractors, Inc.","http://jvmech.com/","+1 508-943-3222","45 Davis St, Webster, MA 01570","Webster",1570,"Massachusetts",4.9,249,1,"ChIJqXCp6V8f5IkR0qLL3CzIGV8","✅ Sent"
"Berkshire Home Services","","+1 413-623-4483","77 Sitting Bull Rd, Becket, MA 01223","Becket",1223,"Massachusetts",0,0,1,"ChIJoQQZ9A0_54kRMlAl6h2yXlA","✅ Sent"
"Dormann's Heating & Cooling, LLC","https://dormannsheatingandcooling.com/%3Futm_source%3Dgoogle-business-listing%26utm_medium%3Dorganic%26utm_campaign%3Dwebsite-button","+1 856-467-8500","265 N Wolfert Station Rd, Mickleton, NJ 08056","Mickleton",8056,"New Jersey",4.9,430,1,"ChIJ5TAF62rcxokR5tNiEocjjnU","✅ Sent"
"Manzella Home Services LLC","http://manzellahomeservices.com/","+1 856-832-3432","110 W Tomlin Station Rd, Mickleton, NJ 08056","Mickleton",8056,"New Jersey",5,95,1,"ChIJrQxTQjnO8mgRnsIp0S5GARA","✅ Sent"
"General & Mechanical Contractors","","+1 856-423-5859","408 Southgate Ct, Mickleton, NJ 08056","Mickleton",8056,"New Jersey",4.4,9,0,"ChIJN_OC7H7cxokRQAcX4btfobk","✅ Sent"
"Maxie Heating & Cooling, LLC","https://www.maxieheating.com/","+1 856-423-1400","175 W Cohawkin Rd, Clarksboro, NJ 08020","Clarksboro",8020,"New Jersey",4.8,97,1,"ChIJ37aiHXDbxokR6wvqta-bqZY","✅ Sent"
"AP Heating & Cooling, LLC","","+1 856-552-2242","","",0,"",3.9,19,1,"ChIJnYE-1hfbxokR16eOf8r2fG8","✅ Sent"
"Horton Heating and Cooling, LLC","https://hortonhvac.com/%3Futm_source%3Dgoogle%2Bbusiness%2Blisting%26utm_medium%3Dorganic%26utm_campaign%3Dclick%2Bto%2Bwebsite","+1 856-224-0456","265 Beacon Ave, Paulsboro, NJ 08066","Paulsboro",8066,"New Jersey",4.8,84,1,"ChIJe4dN5UrbxokRjQ3sAsj3WS0","✅ Sent"
"United Rentals - Power & HVAC","https://www.unitedrentals.com/locations/nj/mickleton/power-hvac-rentals/g58%3Futm_source%3Dgoogle%26utm_medium%3Ddistrib%26utm_campaign%3Dyext","+1 856-423-7820","214 Harmony Rd, Mickleton, NJ 08056","Mickleton",8056,"New Jersey",4.8,20,1,"ChIJa3Ix8YbcxokRff3m3-hRf7E","✅ Sent"
"J&J Mechanical Inc.","https://jjmechanicalinc.com/","+1 856-832-4576","200 Grove Rd, Paulsboro, NJ 08066","Paulsboro",8066,"New Jersey",5,731,1,"ChIJT8JHg37cxokRckFi7-H4qO8","✅ Sent"
"JnJ HVAC","https://jnjhvac.square.site/","+1 856-214-1239","","",0,"",5,20,1,"ChIJB51meDYoMUQRPxvSHkvNrf4","✅ Sent"
"All Jersey Mechanical","","+1 856-343-2960","","",0,"",4,4,1,"ChIJicCNXg_bxokRwvEaVxEm_JU","✅ Sent"
"D’Auria & Son Heating and Air","https://dauriahvac.com/","+1 856-257-1092","26 Evergreen Ave, Blackwood, NJ 08012","Blackwood",8012,"New Jersey",5,371,1,"ChIJNWQaEDXTxokRkTa8gCYzAEE","✅ Sent"
"Instant Services","https://instantservices.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DGMBListing-Blackwood-NJ","+1 856-618-6781","177 S Black Horse Pike, Blackwood, NJ 08012","Blackwood",8012,"New Jersey",4.9,89,1,"ChIJqft8Mapc20ERhSD4GTckjxw","✅ Sent"
