Company,Contact,Email,Phone,Tier,Location,Engagement,Last Activity,Intent,Service_Software
Glasco Heating & Air Conditioning,Paul,paul.russo@glascohvac.com,+1 860-265-8064,B,"South Windsor, CT",4,2025-12-08,CLICKED,
Absolute Air Services,,bgraff@absoluteairservices.com,+1 860-378-2318,B,"Portland, CT",3,2025-12-19,CLICKED,
A&E Plumbing Heating And Air,,andy.m@aeheatingandcooling.com,+1 541-387-3311,B,"Hood River, OR",3,2025-12-19,CLICKED,
Adam Home Services,,office@adammechanical.com,+1 484-376-5429,A,"Havertown, PA",3,2025-12-11,CLICKED,ServiceTitan
A.J. LeBlanc Heating AC Plumbing,AJLeblanc,info@leblanchvac.com,+1 603-623-0412,B,"Bedford, NH",3,2025-12-08,CLICKED,
Absolute Air Services,Bonnie,email@absoluteairservices.com,+1 860-663-6875,B,"Portland, CT",3,2025-12-08,CLICKED,
Total Climate Control,Matthew,info@tccnh.com,+1 603-207-3839,B,"Boscawen, NH",3,2025-12-08,CLICKED,
Restano Heating Cooling & Plumbing,,info@restano.com,+1 412-793-3190,B,"Pittsburgh, PA",2,2025-12-11,CLICKED,
Rycor Hvac,,team@rycorhvac.com,+1 518-862-8918,B,"Gansevoort, NY",2,2025-12-11,CLICKED,ServiceTitan
Ultra Services Inc,,dfarinha@usi-hvac.com,+1 978-667-8800,C,"Billerica, MA",2,2025-12-11,CLICKED,
A-Comfort Service Inc,Frank,frank@acomfortservice.com,+1 412-336-8808,B,"Pittsburgh, PA",2,2025-12-11,CLICKED,
Nerthling's Heating & Air,Nerthling,dave@nerthlings.com,+1 814-990-9914,B,"Erie, PA",2,2025-12-10,CLICKED,
Absolute Heating & Air,,bjackson@goabsoluteair.com,+1 304-212-6107,A,"Morgantown, WV",2,2025-12-10,CLICKED,ServiceTitan
Wesco 53 Heat Pump & Ac Repair,,info@wesco53.com,+1 914-533-1136,C,"Sleepy Hollow, NY",2,2025-12-10,CLICKED,
All Gas Heating & Cooling,,info@allgasheat.com,+1 508-833-5088,C,"Sandwich, MA",2,2025-12-05,CLICKED,
Aire Serv of New Haven,,kelvin.rogers@mail.aireserv.com,+1 203-297-9871,B,"Branford, CT",2,2025-12-04,CLICKED,
GEM Plumbing & Heating,,info@askgem.com,+1 833-222-2953,A,"Lincoln, RI",2,2025-12-03,CLICKED,ServiceTitan
LePrevost Plumbing Heating & Cooling,,info@leprevostplumbingandheating.com,+1 413-243-1777,A,"Lee, MA",2,2025-12-03,CLICKED,ServiceTitan
Central Cooling & Heating,,contact@centralcooling.com,+1 781-933-8288,A,"Woburn, MA",2,2025-12-03,CLICKED,ServiceTitan
Harwich Port Heating & Cooling,,info@hphcllc.com,+1 508-432-3959,B,"Harwich Port, MA",2,2025-12-03,CLICKED,
Heritage Home Service,,onlineservice@justcallheritage.com,+1 603-354-0092,A,"Auburn, NH",2,2025-12-03,CLICKED,ServiceTitan
Gelinas HVAC Services,,info@gelinashvac.com,+1 207-261-0288,A,"Scarborough, ME",2,2025-12-03,CLICKED,ServiceTitan
Hampden County HVAC,,info@hampdenhvac.com,+1 413-219-1119,A,"Indian Orchard, MA",2,2025-12-03,CLICKED,"Jobber, ServiceTitan"
Aire Serv of New Haven,,courtney.fleck@aireserv.com,+1 203-297-9871,B,"Branford, CT",2,2025-12-02,CLICKED,
Aspinwall Baystate Plumbing,,info@aspinwallplumbing.com,+1 617-539-7672,A,"Weymouth, MA",2,2025-12-02,CLICKED,ServiceTitan
Aiello Home Services,,inquire@goaiello.com,+1 833-249-9259,A,"Windsor Locks, CT",2,2025-12-02,CLICKED,ServiceTitan
Aire Serv of Lewiston,,jack.mooney@aireserv.com,+1 207-248-8808,B,"Auburn, ME",2,2025-12-02,CLICKED,
Murphy's AC Heating & Plumbing,,sales@callmurphys.com,+1 877-360-1660,A,"South Yarmouth, MA",2,2025-12-01,CLICKED,ServiceTitan
Central Oregon Heating Cooling,,info@coheating.com,+1 541-227-6258,B,"Redmond, OR",2,2025-12-01,CLICKED,
A&E Plumbing Heating And Air,,dispatch@aeheatingandcooling.com,+1 541-387-3311,B,"Hood River, OR",2,2025-12-01,CLICKED,
Druziako HVAC Inc,,office@druziakohvac.com,+1 978-441-9800,A,"Lowell, MA",2,2025-12-01,CLICKED,Housecall Pro
Central Cooling & Heating,,dhamilton@centralcooling.com,+1 781-577-4719,A,"Woburn, MA",2,2025-11-28,CLICKED,ServiceTitan
Instant Services,Lou,contact@instantservices.com,+1 856-373-5429,A,"Blackwood, NJ",2,2025-11-28,CLICKED,"Housecall Pro, ServiceTitan"
Jay Moody HVAC,,info@jaymoodyhvac.com,+1 978-534-9483,A,"Leominster, MA",2,2025-11-28,CLICKED,ServiceTitan
Elite Plumbing Heating & Ac,Bill,meuker@eliteplumbingheatingac.com,+1 717-254-6564,C,"Carlisle, PA",1,2025-12-11,CLICKED,
Delattre Corporation,Pamela,ppriches@delattrecorp.com,+1 724-258-8571,C,"Charleroi, PA",1,2025-12-11,CLICKED,
K.C. Larson Inc,Keevin,klarson@kclarson.com,+1 570-329-1441,B,"Williamsport, PA",1,2025-12-10,CLICKED,
Christian Heating Cooling Plumbing,Mark,mdrucker@christianhvac.com,+1 215-664-5796,A,"Southampton, PA",1,2025-12-10,CLICKED,ServiceTitan
Clover Heating & Cooling,Anthony,amarmo@clovercool.com,+1 914-631-6744,B,"Sleepy Hollow, NY",1,2025-12-10,CLICKED,
412 Ductless,,info@412ductless.com,+1 412-292-3293,C,"Pittsburgh, PA",1,2025-12-10,CLICKED,
All Mechanical Service,Fishel,gfishel@allmechanical.com,+1 570-696-2222,B,"Dallas, PA",1,2025-12-10,CLICKED,
Mountain Air Systems,,info@masvt.com,+1 802-862-6199,C,"Williston, VT",1,2025-12-09,CLICKED,
John Betlem Heating & Cooling,Kathleen,kathyb@johnbetlem.com,+1 585-902-9886,B,"Rochester, NY",1,2025-12-09,CLICKED,
Sullivan Super Service,,info@sullivanservice.com,+1 412-991-1630,B,"Pittsburgh, PA",1,2025-12-09,CLICKED,
